1-methyl-4-phenylpyridinium	inverse_isa	herbicides
n-methyl-4-phenylpyridinium	inverse_isa	weedkiller
n-methyl-4-phenylpyridine	inverse_isa	weedkiller
naphthalidine	inverse_isa	oncogenic substance
1-naththylamine	inverse_isa	oncogens
naphthalidine	inverse_isa	carcinogens
naphthalidine	inverse_isa	carcinogenic chemicals
alpha-naphthylamine	inverse_isa	carcinogen
1-naththylamine	inverse_isa	chemical carcinogen
1 naphthylamine	inverse_isa	carcinogen
1-aminonaphthalene	isa	2-naphthylamine
8 aminonaphthalene	inverse_isa	carcinogen
8 aminonaphthalene	disposition_of	carcinogen (disposition)
alpha-naphthylamine	inverse_isa	cancer causing agents
1-naphthylamine	disposition_of	carcinogen (disposition)
1-naphthalenamine	inverse_isa	carcinogens
1-naththylamine	inverse_isa	oncogenic substance, nos
8-aminonaphthalene	inverse_isa	carcinogen
sar iso ang	inverse_isa	antihypertensive drugs
angiotensin ii, 1-sarcosine-8-isoleucine	inverse_isa	angiotensin ii type 1 receptor blockers
1-(n-methylglycine)-8-l-isoleucine-angiotensin ii	inverse_isa	antihypertensive drug
1-sar-8-ile angiotensin ii	inverse_isa	type 1 angiotensin receptor blockers
angiotensin ii, 1-sar-8-ile	inverse_isa	anti hypertensives
1-sarcosine-8-isoleucine angiotensin ii	inverse_isa	angiotensin ii type 1 receptor blockers
1 sarcosine 8 isoleucine angiotensin ii	inverse_isa	angiotensin-converting enzyme inhibitor agent (substance)
1 sarcosine 8 isoleucine angiotensin ii	inverse_isa	antihypertensive medicines
sarile	inverse_isa	angiotensin ii type 1 receptor blockers
sarcosineisoleucineangiotensin 02 01 08	inverse_isa	hypotensive agents
angiotensin ii, 1-(n-methylglycine)-8-l-isoleucine-	inverse_isa	angiotensin 2 type 1 receptor antagonists
angiotensin ii, 1-sarcosine-8-isoleucine	inverse_isa	antihypertensive
angiotensin ii, 1-(n-methylglycine)-8-l-isoleucine-	inverse_isa	type 1 angiotensin receptor antagonists
sarcosineisoleucineangiotensin 02 01 08	inverse_isa	hypotensive agent
1 sar 8 ile angiotensin ii	inverse_isa	angiotensin ii type 01 receptor blockers
sarcosineisoleucineangiotensin 02 01 08	inverse_isa	antihypertensives
sar ile angiotensin 02 01 08	inverse_isa	antihypertensives
sarcosineisoleucineangiotensin 02 01 08	inverse_isa	high blood pressure medicines
16,16-dimethylprostaglandin e2	inverse_isa	antacid
16,16 dimethyl pge2	inverse_isa	antiulcer agent
dmpge2	inverse_isa	anti-ulcer agents
dimethylpge2	inverse_isa	prostaglandin analogue
16,16-dimethylprostaglandin e2	subset_includes_concept	fda established names and unique ingredient identifier codes terminology
16,16-dimethylprostaglandin e2	subset_includes_concept	clinical trials reporting program terminology
dimethylprostaglandin e 02 16 16	subset_includes_concept	clinical trials reporting program agent terminology
16,16-dimethylprostaglandin e2	subset_includes_concept	nci drug dictionary terminology
e2, 16,16-dimethylprostaglandin	inverse_isa	anti-ulcer drugs
dimethylpge2	inverse_isa	antiulcer drug
16,16-dimethyl prostaglandin e2	inverse_isa	anti-ulcer drugs
16, 16-dimethyl prostaglandin e2	inverse_isa	anti-ulcer agents
17-ketogenic steroids, nos	used_for	glucocorticoids
17-hydroxycorticosteroids	isa	20-hydroxyprogesterone
17 hydroxycorticoids	isa	5beta-pregnane-3alpha,17alpha,20alpha-triol
17-hydroxycorticosteroid	isa	17-hydroxyprogesterone, (17 alpha)-isomer
17-hydrocorticosteroid	isa	5-pregnen-3beta,17alpha-diol-20-one
17-hydroxycorticosteroid -retired-	isa	20-hydroxyprogesterone (substance)
17-hydroxycorticoid	isa	5-beta-pregnane-3,17,20-triol
17-hydroxycorticosteroids	isa	17-hydroxyprogesterone
17-hydroxycorticosteroids	isa	17-alpha-hydroxypregnenolone
17-hydroxycorticosteroids	isa	cortisone
17-hydroxycorticosteroid (substance)	isa	s compound
17-oxogenic steroid	isa	epitestosterone
17 hydroxycorticosteroid	isa	11beta-hydrocortisone
17-hydroxycorticosteroids	isa	hydrocortisone
17 hydroxycorticosteroids	isa	pregnanetriol
17-hydroxycorticosteroid	isa	hydroxyprogesterone
17-hydroxycorticosteroid -retired-	isa	cortisone acetate
17-oxogenic steroid	isa	hydrocortisone probutate
17-ketogenic steroids	isa	hydrocortisone acetate
17-hydrocorticosteroid	isa	hydrocortisone valerate
17-hydroxycorticosteroid	isa	hydrocortisone butyrate
17-hydroxycorticosteroid	isa	17-hydroxypregnenolone
17-hydroxycorticosteroid -retired-	isa	hydrocortisone sodium succinate
17-hydroxycorticoid	isa	cortexolone
17-ketogenic steroid (substance)	isa	pregnanetriol
17-ketogenic steroid	isa	pregn-4-ene-3,20-dione, 17-hydroxy-
17 hydroxycorticosteroids	isa	compound e preparation
17-oxogenic steroid	isa	hydrocortisone probutate (medication)
hydroxycorticosteroids a 17	isa	hydrocortisone acetate
17-hydrocorticosteroid	isa	hydroxypregnenolone
17kgs - 17-ketogenic steroids	isa	hydrocortisone sodium succinate
17kgs - 17-ketogenic steroids	inverse_isa	glucocorticoid hormones
dehydrogenases, 17-hydroxysteroid	mapped_to	17-ketosteroid reductase deficiency of testis
17-ketosteroids	inverse_isa	product containing steroid
17-ketosteroids	inverse_isa	drug
17-oxosteroid	isa	estrone
17-ketosteroids	isa	2-hydroxyestrone
17-ketosteroid (substance)	isa	formestane-containing product
17-oxosteroid	isa	estra-1,3,5 (10)-triene-17-one-3-yl-sulfate
17 oxosteroids	isa	piperazine estrone sulfate (substance)
17-ketosteroid	isa	phosphate de polyestradiol
oxosteroids 17	isa	trilostano
17-ketosteroids, nos	isa	16alpha-ohe
17-ketosteroids	isa	examestane
17-ketosteroids, nos	isa	4-hydroxyandrostenedione
17-ketosteroid (substance)	isa	estrone 3-sulfate
17-oxosteroids	isa	piperazine estrone sulfate (substance)
17-ketosteroid	isa	estra-1,3,5(10)-triene-3,17 diol (17-beta)-, polymer with phosporic acid
17-ketosteroid	isa	trilostane (product)
oxosteroids 17	isa	16-alpha hydroxyestrone
17-ketosteroid	isa	exemestane
17-oxosteroids (substance)	isa	fulvestrant
2,5 oligoadenylate polymerase	exhibited_by	2'-5' oligoadenylate synthetase activity
2,2-bipyridyl	inverse_isa	chelating agent-containing product
2,2 bipyridine	inverse_isa	indicators and reagents
2,2'-dipyridyl	inverse_isa	chelator
2,2 bipyridine	inverse_isa	reagent/indicator
2,2'-dipyridyl	inverse_isa	chelating agents
2,2-bipyridine	inverse_isa	indicators reagents
2,2 dipyridyl	inverse_isa	chelating agents
2,2-bipyridyl	inverse_isa	chelators
alpha,alpha-dipyridyl	inverse_isa	indicators reagents
2,2'-bipyridine	inverse_isa	agent chelates
alpha,alpha dipyridyl	inverse_isa	reagent/indicator
bipyridine 02 02	inverse_isa	metal chelating agent
alpha,alpha-dipyridyl	inverse_isa	reagents and indicators
2,2'-bipyridine	inverse_isa	agents, chelating
dipyridyl, 2,2	inverse_isa	indicators reagents
2,2-bipyridyl	inverse_isa	chelating agent
2,2 bipyridyl	inverse_isa	reagents indicators
dipyridyl, 2,2	inverse_isa	substance with chelating agent mechanism of action (substance)
2,4,5-trichloroacetophenol	inverse_isa	herbicide
2,4,5-trichlorophenoxyacetic acid -retired-	inverse_isa	herbicide
2,4,5-trichlorophenoxyacetic acid	inverse_isa	herbicide, nos
acetic acid, (2,4,5-trichlorophenoxy)-	inverse_isa	herbicides
2,4,5-t	inverse_isa	herbicides
2,4,5-trichlorophenoxyacetic acid (substance)	inverse_isa	herbicides
trichlorophenoxyacetic acid 020405	inverse_isa	herbicide
2,4,5-trichloroacetophenol	inverse_isa	carboxylic acid
trichlorophenoxyacetic acid	isa	agent orange
t a 02 04 05	inverse_isa	carboxylic acid, nos
2,4-dichlorophenoxyacetic acid (substance)	inverse_isa	herbicide
2,4-d	inverse_isa	herbicide
acetic acid, (2,4-dichlorophenoxy)-	inverse_isa	herbicide
2,4-dichlorophenoxyacetic acid	inverse_isa	weedkiller
2,4-d - 2,4-dichlorophenoxyacetic acid	inverse_isa	herbicide
2,4-d	isa	orange, agent
2,4-dichlorophenoxyacetic acid	isa	2,4-d - 2,4,5-t mixture
dichloroindophenol, 2,6	inverse_isa	indicators reagents
indophenol, dichlorophenol	inverse_isa	reagents indicators
2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-	inverse_isa	reagent/indicator
2,6-dichlorobenzenoneindophenol dye	inverse_isa	reagents indicators
2,6 dichlorophenolindophenol	inverse_isa	reagents indicators
2,6-dichloroindophenol	inverse_isa	reagent/indicator
2,6-dichlorophenolindophenol	inverse_isa	reagents and indicators
dichlorophenol indophenol	inverse_isa	indicators and reagents
dye, 2,6-dichlorobenzenoneindophenol	inverse_isa	reagent/indicator
acid reductoisomerase, acetohydroxy	inverse_isa	biocatalysts
2 acetolactate mutase	inverse_isa	ec 5
2-acetolactate mutase (substance)	inverse_isa	mutase
2-acetolactate mutase (substance)	inverse_isa	enzyme
2 acetohydroxy 3 ketoacid isomeroreductase	inverse_isa	substance with isomerase mechanism of action (substance)
isomeroreductase, 2-acetohydroxy-3-ketoacid	inverse_isa	transferases, intramolecular
2-fluorenylacetamide	inverse_isa	oncogen
2 acetylaminofluorene	mapped_to	acetylaminofluorene
n-2-fluorenylacetamide	inverse_isa	carcinogen
aaf, aminofluorene	inverse_isa	carcinogenic chemicals
n 2 fluorenylacetamide	inverse_isa	carcinogen
n-9h-fluoren-2-ylacetamide	inverse_isa	oncogens
2-acetylaminofluorene	inverse_isa	carcinogens
2-acetamidofluorene (substance)	inverse_isa	carcinogen
n-acetyl-2-aminofluorene	inverse_isa	oncogen
2 fluorenylacetamide	inverse_isa	organo-nitrogen carcinogen
2-aaf	subset_includes_concept	fda unii code terminology
2-aaf	inverse_isa	carcinogen, nos
2-fluorenylacetamide	inverse_isa	carcinogenic chemical, nos
5 phosphononorvaline	inverse_isa	glutamate antagonist
5-phosphononorvaline	inverse_isa	excitatory amino acid antagonists
aminophosphonopentanoic acid 0205	inverse_isa	glutamate receptor antagonist product
aminophosphonovaleric acid 0205	inverse_isa	glutamate receptor antagonists
2 amino 5 phosphonovaleric acid	inverse_isa	glutamate antagonists
2-amino-5-phosphonopentanoate	inverse_isa	glutamate receptor antagonist-containing product
2-amino-5-phosphonopentanoate	inverse_isa	antagonist, glutamate receptor
2-amino-5-phosphonovaleric acid	inverse_isa	glutamate recept antag
5-phosphononorvaline	inverse_isa	antagonists, glutamate
aminophosphonovaleric acid 0205	inverse_isa	glutamate antag
2-aminoadipic acid	inverse_isa	antagonists, excitatory amino acid
aminoadipic acid 02	inverse_isa	glutamate receptor antagonist (product)
2-aminohexanedioic acid	inverse_isa	amino acids, excitatory, antagonists
aminoadipic acid, 2	inverse_isa	antagonists, glutamate receptor
2-aminoadipic acid	inverse_isa	glutamate receptor antagonist
acid, 2-aminohexanedioic	inverse_isa	eaa antagonists
alpha-aminoadipic acid	inverse_isa	amino acid derivative (product)
alpha-aminoadipic acid	subset_includes_concept	ctrp terminology
2-aminohexanedioic acid	subset_includes_concept	ctrp biomarker terminology
acid, alpha-aminoadipic	inverse_isa	aa
2-aminoadipic acid	inverse_isa	product containing glutamate receptor antagonist (product)
hexanedioic acid, 2-amino-	inverse_isa	receptor antagonists, glutamate
aminopurine 02	inverse_isa	product containing antimetabolite
aminopurine	mapped_to	9h-purine-2,6-diamine
aminopurine	mapped_to	tropomysin receptor kinase inhibitor azd7451
2-aminopurine	inverse_isa	antimetabolite
aminopurine	inverse_isa	antimetabolite-containing product
aminopurine 02	inverse_isa	antimetabolite (substance)
aminopurine 02	inverse_isa	antimetabolites
1h-purin-2-amine	inverse_isa	antimetabolite (substance)
2 aminopurine	inverse_isa	antimetabolites (medication)
chloroadenosine 02	mapped_to	8-chloroadenosine
koshlands reagent i	inverse_isa	indicators and reagents
koshland reagent	inverse_isa	reagents and indicators
phenol, 2-(bromomethyl)-4-nitro-	inverse_isa	reagents and indicators
reagent, koshlands	inverse_isa	reagents and indicators
reagent, koshland	inverse_isa	indicators and reagents
2 hydroxy 5 nitrobenzyl bromide	inverse_isa	reagent/indicator
2 hydroxyphenethylamine	mapped_to	at13148
alpha isopropylmalate synthase	inverse_isa	enzymes
alpha isopropylmalate synthase	inverse_isa	ec 4
2-isopropylmalate synthase	inverse_isa	enzyme
2-isopropylmalate synthase (substance)	inverse_isa	substance with lyase mechanism of action (substance)
sodium 2-mercaptoethanesulphonate	inverse_isa	agents, protective
mesna	mapped_to	maid protocol
product containing mesna	mapped_to	tic regimen
sodium 2-mercaptoethanesulphonate	inverse_isa	protective drug, nos
mesna	inverse_isa	drug, protective
product containing mesna	inverse_isa	protectants
mesnum	inverse_isa	drug, protective
sodium 2-mercaptoethanesulfonate	inverse_isa	protective agent
sodium 2-mercaptoethanesulphonate	has_member	mucolytic agent (substance)
mesna	inverse_isa	antidote
mesna	inverse_isa	antidote agent
mesna	inverse_isa	pharmaceutical preparations
ethanesulfonic acid, 2-mercapto-, monosodium salt	inverse_isa	cytoprotective drugs
mesna	inverse_isa	cytoprotectants
mesna	active_ingredient_of	cytoprotective agent (product)
mesna	inverse_isa	antidote (substance)
sodium 2-mercaptoethanesulphonate	inverse_isa	medication
mesna	active_ingredient_of	cytoprotective agent (substance)
mesnum	may_be_prevented_by	cystitis
2-mercaptoethanesulfonate, sodium salt	may_be_treated_by	cystitis nos
sodium 2-mercaptoethanesulphonate	has_contraindicated_drug	drug hypersensitivity
mesna	may_be_prevented_by	drug intoxication
mesna	may_be_prevented_by	bleeding
mesnum	may_be_treated_by	blood loss
mesna	has_component	iff/mesna/vp-16
mesnum	inverse_isa	protectant
mesna	inverse_isa	uroprotectants
mesna (medication)	chemotherapy_regimen_has_component	mesna-adriamycin-ifosfamide-dtic regimen
mesna	chemotherapy_regimen_has_component	mine regimen
mesna	chemotherapy_regimen_has_component	iff/msa/vp-16
mesna (product)	chemotherapy_regimen_has_component	paclitaxel/ifosfamide/cisplatin
sodium 2-mercaptoethanesulphonate	chemotherapy_regimen_has_component	dacarbazine/mesna
mesna	chemotherapy_regimen_has_component	aim regimen
mesna	chemotherapy_regimen_has_component	calgb 9251 regimen
mesna	chemotherapy_regimen_has_component	codox-m/ivac
mesna	chemotherapy_regimen_has_component	rituximab-ifosfamide-carboplatin-etoposide regimen
sodium 2-mercaptoethane sulfonate	chemotherapy_regimen_has_component	veip regimen
mesna	subset_includes_concept	ctrp agent terminology
sodium 2-mercaptoethane sulfonate	subset_includes_concept	genomics data commons terminology
mesna	chemotherapy_regimen_has_component	cisplatin/ifosfamide/mesna
mesna (substance)	chemotherapy_regimen_has_component	ifosfamide-mesna-paclitaxel
mesna (product)	chemotherapy_regimen_has_component	fluorouracil/ifosfamide/methotrexate
mesna	chemotherapy_regimen_has_component	mesna/ifosfamide/novantrone/etoposide/etoposide/solumedrol/ara-c/platinol
mesna (substance)	subset_includes_concept	national cancer institute drug dictionary
mesna product	inverse_isa	protective agent (substance)
mesna	inverse_isa	protective agents
beta-naphthylamine	inverse_isa	carcinogens chemical
2-naphthalenamine	inverse_isa	carcinogenic aromatic amine
b- naphthylamine	subset_includes_concept	fda unii code terminology
2-naphthylamine	subset_includes_concept	clinical proteomic tumor analysis consortium terminology
2-naphthylamine	subset_includes_concept	cptac baseline medical forms terminology
2-naphthylamine	subset_includes_concept	cptac environmental/occupational exposure codelist
beta-naphthylamine	subset_includes_concept	cptac codelists terminology
beta-naphthylamine	subset_includes_concept	cptac medical history form
fast scarlet base b	inverse_isa	oncogen
2-naphthylamine (substance)	inverse_isa	oncogen
beta naphthylamine	inverse_isa	carcinogen
beta naphthylamine	inverse_isa	naphthylamine 01
naphthylamine 02	disposition_of	carcinogen (disposition)
2-aminonaphthalene	inverse_isa	carcinogen
20-methylcholanthrene	inverse_isa	polycyclic aromatic hydrocarbons
24,25-dihydroxycholecalciferol	inverse_isa	vitamin
24,25-hydroxy vitamin d3	inverse_isa	bone density conservation agents
24,25-dihydroxyvitamin d3	inverse_isa	calcium-regulating hormones and agents
24,25(oh)2 d3	inverse_isa	vitamin
24,25-dihydroxyvitamin d 3	inverse_isa	bone density conservation agents
24,25-dihydroxyvitamin d3	inverse_isa	calcium regulating hormones and agents
24,25-dihydroxyvitamin d3	inverse_isa	vitamins
24,25 dihydroxyvitamin d3	inverse_isa	bone density conservation agents
24,25-dihydroxyvitamin d3 (substance)	inverse_isa	vitamin
(3beta,5z,7e)-9,10-secocholesta-5,7,10(19)-triene-3,24,25-triol	inverse_isa	bone density conservation agents
24,25-dihydroxyvitamin d3 (substance)	inverse_isa	calciotropic hormone
24,25-diohccc - 24,25-dihydroxycholecalciferol	inverse_isa	oleovitamin d preparation
24,25-dihydroxyvitamin d3	inverse_isa	vitamin-d
24,25-dihydroxyvitamin d3	subset_includes_concept	clinical trials reporting program biomarker terminology
9,10-secocholesta-5,7,10(19)-triene-3,24,25-triol, (3-beta,5z,7e)-	inverse_isa	calcium-regulating hormones and agents
24,25-dihydroxy cholecalciferol (substance)	inverse_isa	bone density conservation agents
24,25-dhcc - 24,25-dihydroxycholecalciferol	inverse_isa	calcium regulating hormones and agents
dihydroxyvitamin d3 24 25	inverse_isa	bone density conservation agents
24,25-dihydroxyvitamin d<sub>3</sub>	inverse_isa	calcium-regulating hormones and agents
9,10-secocholesta-5,7,10(19)-triene-3,24,25-triol, (3beta,5z,7e)-	inverse_isa	calcium-regulating hormones and agents
24r-dihydroxycalcidiol	inverse_isa	vitamin (substance)
calcidiol 1-monooxygenase	mapped_to	1alpha(oh)ase
calcidiol,nadph:oxygen oxidoreductase (1-hydroxylating)	inverse_isa	hydroxylase
25 hydroxyvitamin d3 1 alpha hydroxylase	inverse_isa	monooxygenase
calcidiol monooxygenase 01	exhibited_by	25-hydroxyvitamin d3 1alpha-hydroxylase activity
9,10-secoergosta-5,7,10(19),22-tetraene-3 beta,25-diol	inverse_isa	vitamin
25-hydroxyvitamin d 2	inverse_isa	bone density conservation agents
25-hydroxyvitamin d<sub>2</sub>	inverse_isa	vitamins
25-hydroxy ergocalciferol	inverse_isa	bone density conservation agents
25 hydroxyvitamin d2	inverse_isa	vitamin
25-hydroxyvitamin d2	inverse_isa	bone density conservation agents
9,10-secoergosta-5,7,10(19),22-tetraene-3,25-diol, (3beta,5z,7e,22e)-	inverse_isa	vitamin preparation (product)
25-hydroxyvitamin d>2<	inverse_isa	vitamins
25-hydroxy ergocalciferol (substance)	inverse_isa	bone density conservation agents
25 hydroxycalciferol	inverse_isa	vitamin preparation, nos
25 hydroxyergocalciferol	inverse_isa	vitamin d
25-hydroxyvitamin d2	has_component	25-hydroxyvitamin d2 measurement
3',5'-cyclic-nucleotide 5'-nucleotidohydrolase	mapped_to	homo sapiens phosphodiesterase pde9a2
phosphodiesterase, 3',5'-cyclic amp	mapped_to	pde8b protein, human
cycl amp phosphodiesterase	inverse_isa	product containing hydrolase (product)
3',5' cyclic amp 5' nucleotidohydrolase	inverse_isa	hydrolase (substance)
cyclic gmp nucleotidohydrolase 03 05 05	inverse_isa	hydrolase
phosphodiesterases, 3',5'-cyclic-gmp	inverse_isa	hydrolases
(1,1'-biphenyl)-4,4'-diamine, 3,3'-dichloro-	inverse_isa	carcinogen, nos
3-3'dichlorobenzidine (substance)	subset_includes_concept	fda unii code terminology
3,3 dichlorobenzidine	inverse_isa	carcinogen
dichlorobenzidine 03 03	inverse_isa	carcinogens chemical
3,3'-dichlorobenzidine	inverse_isa	carcinogen
3,3-dichlorobenzidine	inverse_isa	oncogen
3-3'dichlorobenzidine (substance)	inverse_isa	carcinogenic chemical
dopac	see_from	3,4 dihydroxyphenylacetate
dopac	inverse_isa	catecholamine metabolite
dopac - dihydroxyphenylacetic acid	inverse_isa	catecholamine metabolite (substance)
droxidopa	inverse_isa	antiparkinson agents
droxidopa	inverse_isa	antiparkinsonian agents
droxidopa	inverse_isa	sympathomimetic agent
droxidopa	inverse_isa	amino acid derivative
3,4-threo-dops	inverse_isa	antiparkinsonian agents
3,4-threo-dops	inverse_isa	sympathomimetics (medication)
threo-dops	inverse_isa	antiparkinsonian
droxidopa	inverse_isa	agents, antiparkinson
l-threo-dihydroxyphenylserine	inverse_isa	antiparkinsonian agent (product)
3,4 threo dops	inverse_isa	antiparkinsonism drugs (medication)
(-)-(2s,3r)-2-amino-3-(3,4-dihydroxyphenyl)-3-hydroxypropanoic acid	inverse_isa	vasoconstrictor
droxidopa	inverse_isa	antiparkinson drugs
droxidopa (medication)	inverse_isa	aa - amino acid
droxidopa	inverse_isa	sympathomimetics
threo dops	inverse_isa	product containing amino acid (product)
l-threo 3,4 dihydroxyphenylserine	inverse_isa	sympathomimetic agent
droxidopa	inverse_isa	product containing amino acid derivative (product)
droxidopa	structural_class_of	product containing catecholamine (product)
threo-dops	therapeutic_class_of	central drugs nervous system
droxidopa product	has_contraindicated_drug	drug hypersensitivity nos
droxidopa	may_be_treated_by	orthostatic hypotension
dl threo 3,4 dihydroxyphenylserine	inverse_isa	antiparkinson agent
l-tyrosine, beta,3-dihydroxy-, threo-	inverse_isa	antiparkinson agents
droxidopa	inverse_isa	agents, antiparkinsonian
1,3-benzodioxole-5-ethanamine, alpha-methyl-	inverse_isa	hallucinogen
methylenedioxyamphetamine	inverse_isa	serotonin drugs
methylenedioxyamphetamine	inverse_isa	adrenergic uptake inhibitor
mda	mapped_to	n-ethyl mda
alpha-methyl-1,3-benzodioxole-5-ethanamine	mapped_to	3-methoxy-4,5-methylenedioxyamphetamine (mmda)
methylenedioxyamphetamine 03 04	inverse_isa	agent, psychotomimetic
1,3-benzodioxole-5-ethanamine, alpha-methyl-	inverse_isa	serotonin agents
tenamfetaminum	inverse_isa	hallucinogens
methylenedioxyamphetamine	inverse_isa	inhibitors, adrenergic uptake
alpha-methyl-1,3-benzodioxole-5-ethanamine	inverse_isa	substances, hallucinogenic
3,4-methylenedioxyamphetamine	inverse_isa	drug serotonin
mda	inverse_isa	psychedelic agents
tenamfetamine	inverse_isa	drug serotonin
methylenedioxyamphetamine	inverse_isa	adren uptake inhib
methylenedioxyamphetamine 03 04	inverse_isa	cns stimulants
methylenedioxyamphetamine (substance)	inverse_isa	psychedelic
mda	inverse_isa	serotonergic drugs
mda	inverse_isa	inhib adren reuptake
tenamfetamine	inverse_isa	psychotomimetic drugs
tenamfetamine	inverse_isa	drugs, serotonergic
methylenedioxyamphetamine	inverse_isa	beta-aminopropylbenzene
mda	inverse_isa	amphetamine group
methylenedioxyamphetamine	inverse_isa	substituted amphetamine-containing product
methylenedioxyamphetamine (substance)	inverse_isa	amphetamine (product)
methylenedioxyamphetamine	inverse_isa	amphetamine
methylenedioxyamphetamine	inverse_isa	substituted amphetamine product
3,4-methylenedioxyamphetamine	inverse_isa	hallucinogenic drug
3,4 methylenedioxyamphetamine	inverse_isa	substance with adrenergic uptake inhibitor mechanism of action (substance)
tenamfetamine	inverse_isa	serotonergic agents
tenamfetamine	inverse_isa	adrenergic uptake inhibitors
methylenedioxyamphetamine (substance)	inverse_isa	hallucinogenic agent (substance)
tenamfetaminum	inverse_isa	drugs, serotonin
mda	inverse_isa	reuptake inhibitors, adrenergic
methylenedioxyamphetamine	inverse_isa	agents, serotonergic
beta alanine	mapped_to	benfuracarb
beta alanine	mapped_to	netarsudil
beta-alanine	used_for	amino acids nos
.beta.-alanine	inverse_isa	amino acids, source unspecified
3-aminopropionic acid	measures	beta-alanine measurement
beta-alanine	inverse_isa	2-aminopropionic acid
beta alanine	has_component	beta-alanine measurement (procedure)
beta-alanine	inverse_isa	l-alanine
beta-alanine	has_component	beta-alanine test
beta-alanine	structural_class_of	amino acids
beta alanine	may_be_prevented_by	nutritional and metabolic diseases
dau	inverse_isa	antineopl antimetab
4-hydroxy-1-(beta-d-ribopentofuranosyl)-2-pyridone	inverse_isa	antimetabolites, antineoplastic
dau	inverse_isa	antineoplastics,antimetabolites
3-deazauridine	inverse_isa	antineoplastics,antimetabolites
deazauridine	inverse_isa	antineoplastic antimetabolites
deazauridine	inverse_isa	pyrimidine antagonist
4-hydroxy-1-(beta-d-ribopentofuranosyl)-2-pyridone	inverse_isa	cts inhibitors
deazauridine 03	subset_includes_concept	nci drug dictionary terminology
3 deazauridine	inverse_isa	antineopl antimetab
hydroxymethylglutaric acid 03 03	inverse_isa	anticholesteremics
hydroxymethylglutaric acid 03 03	inverse_isa	enzyme inhibitor
hydroxymethylglutaric acid 03 03	inverse_isa	antihyperlipemics
acid, 3-hydroxy-3-methylglutaric	inverse_isa	anticholesteremics
meglutol	inverse_isa	enzyme inhib
meglutol	inverse_isa	antilipemic agent
3-hydroxy-3-methylglutaric acid	inverse_isa	hmg-coa reductase inhibitor product
hydroxymethylglutaric acid 03 03	inverse_isa	inhibitors, cholesterol
acid, 3-hydroxy-3-methylglutaric	inverse_isa	substance with enzyme inhibitor mechanism of action (substance)
hydroxymethylglutaric acid 03 03	inverse_isa	drug lipid lowering
meglutol	inverse_isa	hydroxymethylglutaryl coa reductase inhibitor
